Item_ID	Weapon_Type
21275	main-hand-only
2131	one-hand
21392	one-hand
21398	main-hand-only
21404	one-hand
21407	main-hand-only
21413	main-hand-only
21416	one-hand
21452	main-hand-only
21459	ranged
21466	main-hand-only
21471	off-hand
21485	off-hand
21520	one-hand
21523	main-hand-only
21597	off-hand
21603	ranged
21610	off-hand
21616	ranged
21622	main-hand-only
21635	main-hand-only
21666	off-hand
21673	main-hand-only
21679	main-hand-only
21703	main-hand-only
21715	one-hand
21801	ranged
21802	main-hand-only
21806	main-hand-only
21837	one-hand
21839	main-hand-only
21856	main-hand-only
22253	off-hand
22254	ranged
22319	off-hand
22329	off-hand
22335	main-hand-only
22336	off-hand
22345	ranged
22347	ranged
22348	main-hand-only
22377	one-hand
22379	main-hand-only
22380	main-hand-only
22395	ranged
22396	ranged
22397	ranged
22398	ranged
22399	ranged
22400	ranged
22401	ranged
22402	ranged
22408	ranged
2243	one-hand
2244	main-hand-only
22458	main-hand-only
22713	one-hand
23197	ranged
23198	ranged
23199	ranged
23200	ranged
23201	ranged
23203	ranged
23451	one-hand
23452	off-hand
23453	off-hand
23454	one-hand
23456	one-hand
23464	one-hand
23465	main-hand-only
23466	one-hand
23467	one-hand
23468	off-hand
23469	off-hand
23557	ranged
2494	one-hand
2801	main-hand-only
2901	main-hand-only
3187	one-hand
4088	one-hand
4696	off-hand
4984	off-hand
5215	ranged
5216	ranged
5267	one-hand
6622	main-hand-only
7005	one-hand
7344	off-hand
7513	ranged
7514	ranged
7515	off-hand
7609	off-hand
7685	off-hand
7714	one-hand
7721	main-hand-only
811	main-hand-only
812	main-hand-only
8190	one-hand
868	main-hand-only
871	one-hand
873	main-hand-only
9393	off-hand
9408	main-hand-only
943	main-hand-only
944	main-hand-only
9449	main-hand-only
9684	main-hand-only
9944	off-hand
