Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
11,Baldwín,BLAST,Horde,660.3,40,Jun-12,35:56:00,Bloodvine Goggles (19999),Star of Mystaria (12103),Warlord's Dragonhide Epaulets (16551),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Zanzil's Band (19905),Maiden's Circle (13001),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
12,Qtmiri,Unseasoned,Alliance,647.3,39,Jun-29,33:27:00,Elegant Circlet (10219),Orb of the Darkmoon (19426),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Talisman of Ephemeral Power (18820),Eye of the Beast (13968),Cloak of the Hakkari Worshippers (22711),Claw of Chromaggus (19347),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
13,Demonictism,Last Time,Alliance,644.9,40,Jun-20,50:21:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Pristine Enchanted South Seas Kelp (19613),High Councillor's Mantle (10142),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Servitude (22721),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
14,Redrocket,Omen,Horde,643.4,40,Jun-15,42:07:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Star of Mystaria (12103),Master's Mantle (10253),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Zanzil's Seal (19893),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
15,Mbell,N/A,Unknown,641.4,40,Jun-14,29:14:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Jeklik's Opaline Talisman (19923),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
16,Murderfaces,Leeroys Shenanigans,Alliance,640.1,40,Jul-02,34:04:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of Enlightenment (17109),Burial Shawl (18681),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Eye of the Beast (13968),Neltharion's Tear (19379),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
17,Erival,Inner Sanctum,Alliance,635.2,40,Jun-22,36:00:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Burial Shawl (18681),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Eternal Bindings (14330),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Ring of Spell Power (19147),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Fang of the Mystics (17070),Jin'do's Bag of Whammies (19891),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
18,Honeydudu,N/A,Unknown,630,40,Jun-26,29:09:00,The Hexxer's Cover (19886),Star of Mystaria (12103),Master's Mantle (10253),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Eye of Orgrimmar (12545),Briarwood Reed (12930),Zandalarian Hero Charm (19950),High Councillor's Cloak (10138),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
19,Jämr,N/A,Unknown,627.7,40,Jun-11,37:02:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Orphic Bracers (18337),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Servitude (22721),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
20,Naapi,Gnomeboys,Alliance,624.3,40,Jun-19,33:43:00,The Hexxer's Cover (19886),Orb of the Darkmoon (19426),High Councillor's Mantle (10142),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Zanzil's Seal (19893),Neltharion's Tear (19379),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
21,Beisikk,The Fellowship,Horde,623.8,40,Jun-25,25:33:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),High Councillor's Mantle (10142),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Darkwater Bracers (10800),Adventurer's Gloves (10260),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
22,Redrocket,Omen,Horde,605.8,40,May-25,25:24:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Star of Mystaria (12103),Elegant Mantle (10210),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
23,Farian,Fate,Horde,598.5,40,May-19,59:30:00,Nightshade Helmet (10226),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Maiden's Circle (13001),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Master's Cloak (10249),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
24,Stuba,The Pond pug,Horde,586,40,May-25,40:03:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Jeklik's Opaline Talisman (19923),Cyclone Spaulders (18528),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Taut Dragonhide Gloves (19390),Zanzil's Seal (19893),Zanzil's Band (19905),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Staff of the Shadow Flame (19356),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
25,별빛섬광,N/A,Unknown,584.8,40,Jun-19,50:37:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),High Councillor's Mantle (10142),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Forced Concentration (19403),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of the Brood Lord (19378),Lok'amir il Romathis (19360),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
26,Shaniatwain,N/A,Unknown,581.6,40,Jun-09,41:39:00,Master's Hat (10250),Pristine Enchanted South Seas Kelp (19613),Master's Mantle (10253),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Zanzil's Band (19905),Band of Servitude (22721),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Bloodstrike Dagger (15247),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
27,Celeqt,N/A,Unknown,577.9,40,Jun-29,19:39,The Hexxer's Cover (19886),Star of Mystaria (12103),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Gloves of Delusional Power (20618),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of the Hakkari Worshippers (22711),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
28,Kushu,N/A,Unknown,576.2,40,Jun-21,32:38:00,Mighty Helmet (10150),Soul Corrupter's Necklace (19876),High Councillor's Mantle (10142),Bloodvine Vest (19682),Cenarion Belt (16828),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Dreamweave Gloves (10019),Songstone of Ironforge (12543),Maiden's Circle (13001),Eye of the Beast (13968),Royal Seal of Eldre'Thalas (18470),Cloak of the Hakkari Worshippers (22711),Fang of the Mystics (17070),Trance Stone (20582),N/A,Blackwing Lair,4,Druid,Balance
29,Mirya,N/A,Unknown,572,40,Jun-18,36:05:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Field Marshal's Dragonhide Spaulders (16449),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
30,Arzarzarzar,Relapse,Horde,570.8,40,Jun-11,30:39:00,The Hexxer's Cover (19886),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
31,Taftaf,Mirages,Alliance,566.9,40,Jun-09,35:41:00,The Hexxer's Cover (19886),Jeklik's Opaline Talisman (19923),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nightshade Armguards (10223),Bloodtinged Gloves (19929),Songstone of Ironforge (12543),Band of Servitude (22721),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
32,Gigimurin,Numenorian,Alliance,566.8,39,Jun-11,31:25:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Soul Corrupter's Necklace (19876),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Zanzil's Seal (19893),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Cloak of the Brood Lord (19378),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
33,Tesquakka,N/A,Unknown,566.6,38,Jun-18,39:30:00,Crimson Felt Hat (18727),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Tearfall Bracers (13409),Bloodtinged Gloves (19929),Eye of Orgrimmar (12545),Zanzil's Seal (19893),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Cloak of the Brood Lord (19378),Lok'amir il Romathis (19360),Therazane's Touch (19315),N/A,Blackwing Lair,4,Druid,Balance
34,Gankolaus,Animals,Alliance,562.2,39,Jul-07,39:25:00,The Hexxer's Cover (19886),Pristine Enchanted South Seas Kelp (19613),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cinderhide Armsplints (11764),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
35,Grantx,Unboon,Alliance,562.1,40,Jun-11,33:18:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Master's Mantle (10253),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Adventurer's Gloves (10260),Ring of Spell Power (19147),Rune Band of Wizardry (22339),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
36,Taftaf,Mirages,Alliance,559.7,40,Jun-15,34:00:00,The Hexxer's Cover (19886),Jeklik's Opaline Talisman (19923),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),Nightshade Armguards (10223),Bloodtinged Gloves (19929),Songstone of Ironforge (12543),Band of Servitude (22721),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
37,Koudi,Resurrection,Alliance,550.2,40,Jun-27,39:57:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Servitude (22721),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
38,Dìsí,Skedaddle,Alliance,550,40,Jun-01,37:13:00,Crimson Felt Hat (18727),Choker of Enlightenment (17109),High Councillor's Mantle (10142),Master's Robe (10254),Belt of Untapped Power (22716),Bloodtinged Kilt (19895),Omnicast Boots (11822),Eternal Bindings (14330),Mighty Gauntlets (10149),Songstone of Ironforge (12543),Band of the Unicorn (7553),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Spritecaster Cape (11623),Shadow Wing Focus Staff (19355),N/A,Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
39,Monkmonk,casuals,Alliance,545.4,40,Jun-30,27:07:00,The Hexxer's Cover (19886),Pristine Enchanted South Seas Kelp (19613),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Band of Servitude (22721),Zanzil's Band (19905),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
40,Tabbitab,Shift,Alliance,543.1,40,Jun-12,32:50:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Soul Corrupter's Necklace (19876),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Mighty Armsplints (10147),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Zandalarian Hero Charm (19950),Cloak of the Brood Lord (19378),Lok'amir il Romathis (19360),Spirit of Aquementas (11904),N/A,Blackwing Lair,4,Druid,Balance
41,Erival,Inner Sanctum,Alliance,542.4,40,May-25,39:44:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Burial Shawl (18681),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Eternal Bindings (14330),Bloodtinged Gloves (19929),Band of Servitude (22721),Ring of Spell Power (19147),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Fang of the Mystics (17070),Tome of Arcane Domination (19308),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
42,嘚嘞个嘚,N/A,Unknown,541.6,40,Jun-12,45:52:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
43,Snälladudu,N/A,Unknown,539.8,40,Jul-05,31:38:00,The Hexxer's Cover (19886),Star of Mystaria (12103),Elegant Mantle (10210),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of the Hakkari Worshippers (22711),Jin'do's Judgment (19884),N/A,N/A,Blackwing Lair,4,Druid,Balance
44,瑶总丶,奇利亚斯,Horde,539.1,40,May-09,58:39:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Kentic Amice (11624),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
45,Amelio,BREAD,Alliance,538,37,Jun-12,01:01:58,"Mish'undare, Circlet of the Mind Flayer (19375)",Soul Corrupter's Necklace (19876),Burial Shawl (18681),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Blackrock (19397),Band of Servitude (22721),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
46,口卡口卡,梨花院落溶溶月,Alliance,536.2,36,Jun-21,01:01:21,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Ring of Blackrock (19397),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
47,Najmitaunt,Gambit,Alliance,529.3,38,Jun-16,43:06:00,The Hexxer's Cover (19886),Pristine Enchanted South Seas Kelp (19613),Abyssal Cloth Amice (20686),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Aurastone Hammer (17105),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
